0.00002:data.4001:[-0.20004 -0.20004 0.20004 10.20004]:3.59985:10.40009:[0.7071 0.7071 -0.7071 0.7071 0 0]
0.00003:data.4002:[-0.20004 -0.20004 5.20004 5.20004]:5.40009:5.40009:[0.7071 0.7071 -0.7071 0.7071 0 0]
0.00005:data.4003:[3.49994 1.50012 16.50006 14.49994]:13.00012:12.99982:[1 0 0 1 0 0]
0.00006:data.4004:[1.20192 3.57176 33.31897 33.31897]:32.11705:29.74721:[1 0 0 1 0 0]
0.00008:data.4005:[-10.5 -3.83403 20.5 6.50006]:20:12.00012:[1 0 0 1 0 0]
0.00009:data.4006:[-7.50012 -4.54152 14.50024 8.49988]:20:16.00006:[1 0 0 1 0 0]
0.0001:data.4007:[0 0 10 10]:10:10:[1 0 0 1 0 0]
0.00012:data.4008:[-0.20004 -0.20004 0.20004 10.20004]:3.59985:10.40009:[0 1 -1 0 0 0]
0.00014:data.4009:[-0.20004 -0.20004 5.20004 5.20004]:5.40009:5.40009:[1 0 0 1 0 0]
0.00015:data.4010:[-1.19928 -1.6437 49.37262 49.47716]:52.00012:52.00012:[1 0 0 1 0 0]
0.00017:data.4011:[-3.05579 -3.29163 99.49034 99.02959]:102.00012:102.00012:[1 0 0 1 0 0]
0.00018:data.4012:[-9.49994 -3.49988 12.49982 8.49988]:17.99988:10:[1 0 0 1 0 0]
0.0002:data.4013:[0 0 13.20007 13.20007]:13.20007:13.20007:[1 0 0 1 0 0]
